Datetime,Hs,Tp,Wvx,Wvy,yout
2000-01-01,0.42971490593124584,0.39958124386302873,0.24451897195473288,0.6027398063546605,0.1789081085993769
2000-01-02,0.28283459038346165,0.3248388402082508,0.32415537243026604,0.6234295324893058,0.1807067212526361
2000-01-03,0.2767262327289405,0.2781830306285782,0.3731689918329597,0.6251280222569975,0.18250533390589485
2000-01-04,0.21873083863871712,0.22668436341838233,0.5447553074958699,0.6256841709812211,0.18430394655915405
2000-01-05,0.2626701538644775,0.2283983871901647,0.32027460343400505,0.5521438446301806,0.18610255921241325
2000-01-06,0.5050243754430422,0.5351179183015734,0.17063854509715137,0.6237898802092875,0.187901171865672
2000-01-07,0.5403511098575771,0.4721811414686483,0.20402855996722097,0.6133629964158682,0.1896997845189312
2000-01-08,0.39037893100327914,0.34417952724370426,0.27477349092862136,0.5928540779312808,0.19149839717219042
2000-01-09,0.2929489253718853,0.26724490145166124,0.3438846580734921,0.5999341933556248,0.19329700982544917
2000-01-10,0.244378071603815,0.26064980542808425,0.38612851013876803,0.6212114625935701,0.19509562247870837
2000-01-11,0.23742964492573757,0.2164132029017633,0.39706919627874226,0.6001880253644496,0.19689423513196758
2000-01-12,0.336478156933876,0.2898413105380764,0.41407963706091494,0.6495061673624585,0.19869284778522633
2000-01-13,0.4051090413962212,0.36200199758462703,0.42400995362947846,0.692888777680879,0.20049146043848554
2000-01-14,0.44797602544575055,0.41353135620402504,0.4423588813889917,0.7252751665194526,0.20229007309174474
2000-01-15,0.41850043882553745,0.40138595383391096,0.44818428133595,0.7196226795168121,0.2040886857450035
2000-01-16,0.29399415399022677,0.355802766486934,0.47137579454284667,0.6978470365715033,0.2058872983982627
2000-01-17,0.24774392375965978,0.30910254500502743,0.418723170729243,0.6618498401739998,0.20768591105152234
2000-01-18,0.24698048045653478,0.32785356119527576,0.3763064852639747,0.6564039849811694,0.20948452370478066
2000-01-19,0.28447068955419114,0.3248280538503271,0.36887888545214975,0.6510087485145648,0.2112831363580403
2000-01-20,0.21447845519569597,0.17649818177761512,0.40190977113090964,0.5787568800119068,0.2130817490112995
2000-01-21,0.1894067726022666,0.03995209775453279,0.4438677423076421,0.5174772703004397,0.2148803616645587
2000-01-22,0.20283154773661907,0.045241941632884086,0.4092986996692683,0.5015574188243435,0.21667897431781746
2000-01-23,0.2835316491242954,0.44273106126908846,0.2132191865480048,0.5999374592581228,0.21847758697107666
2000-01-24,0.3128711807306523,0.41019071648599914,0.219232304683885,0.5792247616077123,0.22027619962433587
2000-01-25,0.25566600051776067,0.38496880559823266,0.2743553357491506,0.623050588770808,0.22207481227759462
2000-01-26,0.24549376926070474,0.40332235380041837,0.3843723023058608,0.7036753528518881,0.22387342493085383
2000-01-27,0.23983444997309347,0.2388744667534678,0.4576424308703166,0.6323054923335132,0.22567203758411303
2000-01-28,0.3456660404166741,0.2979360678015822,0.30609524504387675,0.5897533729832858,0.22747065023737179
2000-01-29,0.28742869437076496,0.321389087448017,0.2848297976651993,0.58601898478509,0.229269262890631
2000-01-30,0.30281495506103817,0.7168157846634482,0.10990020270848572,0.7014357195853858,0.2310678755438902
2000-01-31,0.33639611341767117,0.6906801663703493,0.12352435400061623,0.696501700077583,0.2328664881971494
2000-02-01,0.2583975079448647,0.4220157312104018,0.25541899935128487,0.6319098794817428,0.23466510085040815
2000-02-02,0.2751498096152477,0.39544459326420345,0.3116216990530277,0.6606640825560236,0.23646371350366735
2000-02-03,0.26479279127690314,0.12832917899848928,0.5047002730200122,0.5764154718334155,0.23826232615692655
2000-02-04,0.3087281489200287,0.18898289666824364,0.5579698155249735,0.6019968021996533,0.2400609388101853
2000-02-05,0.31072160534745197,0.24286936204052845,0.5887535284952842,0.6227216761350143,0.2418595514634445
2000-02-06,0.23864453336041316,0.260371483497174,0.5192638480446401,0.6471500688916081,0.2436581641167037
2000-02-07,0.2148214676200645,0.09018959142613786,0.47993019685817995,0.554541144447982,0.24545677676996247
2000-02-08,0.296846189053317,0.157100626114682,0.5720829295043268,0.5797440161806717,0.24725538942322167
2000-02-09,0.29772475179561864,0.17284541046755564,0.5736189765108243,0.5881754563401197,0.24905400207648087
2000-02-10,0.37547909500598114,0.24201434722547743,0.5634874501019689,0.6300709259812626,0.25085261472973963
2000-02-11,0.38902154922521237,0.2505274211187518,0.5443057987105346,0.6388201540243099,0.25265122738299883
2000-02-12,0.3271320064344469,0.3839563633929016,0.3879376408507825,0.6939027453718997,0.25444984003625803
2000-02-13,0.4084290081627722,0.22823682946581758,0.32626095947133604,0.5580697042683047,0.2562484526895168
2000-02-14,0.40240509236073796,0.2847274697422949,0.30616696616372485,0.5801493455059561,0.258047065342776
