Datetime,ann1,ann2,ann3,ann4,ann5,ann6,ann7,ann8,ann9,ann10
2014-08-10,211.33957,205.43045043945312,208.80584716796875,216.5778045654297,207.6499481201172,211.94403076171875,203.9066162109375,204.991943359375,202.5903778076172,211.59303283691406
2014-08-11,210.78175,205.5784149169922,208.12548828125,215.42532348632812,207.2715606689453,212.01271057128906,203.413330078125,205.61473083496094,202.1818389892578,211.9996337890625
2014-08-12,209.97797,204.60922241210938,207.45416259765625,213.82997131347656,206.55560302734375,210.3948974609375,203.85533142089844,205.28948974609375,201.2971649169922,210.0242462158203
2014-08-13,208.9694,204.29486083984375,206.04217529296875,213.2382354736328,206.04498291015625,209.906494140625,203.20083618164062,205.7783203125,199.8638916015625,209.35484313964844
2014-08-14,208.14511,202.57574462890625,205.3158721923828,213.19993591308594,205.20773315429688,208.3085174560547,202.5008087158203,204.11135864257812,199.85345458984375,208.70799255371094
2014-08-15,207.54797,201.61502075195312,204.4720001220703,211.40357971191406,205.37765502929688,207.42063903808594,202.4439697265625,202.92251586914062,198.406494140625,208.4599151611328
2014-08-16,207.22891,200.10450744628906,203.82630920410156,210.57171630859375,205.36416625976562,205.2169952392578,202.68194580078125,201.54901123046875,198.80029296875,207.12484741210938
2014-08-17,207.54836,201.23385620117188,204.1781768798828,210.24322509765625,205.79190063476562,206.1683807373047,201.13458251953125,201.94944763183594,199.04159545898438,208.15733337402344
2014-08-18,207.07022,200.8842010498047,204.0772247314453,210.1492156982422,204.47911071777344,205.12245178222656,200.80307006835938,201.0675048828125,199.43829345703125,205.627197265625
2014-08-19,204.95555,200.31336975097656,201.7583770751953,209.80824279785156,203.47409057617188,203.71270751953125,197.6818389892578,199.9271697998047,197.64340209960938,204.05194091796875
2014-08-20,203.0664,197.6203155517578,198.84237670898438,207.34532165527344,200.93833923339844,199.8220977783203,196.61309814453125,197.63975524902344,196.1168670654297,200.86569213867188
2014-08-21,201.31363,196.17083740234375,195.76715087890625,203.81167602539062,199.01490783691406,196.780029296875,195.5530548095703,195.82211303710938,194.19741821289062,199.2034454345703
2014-08-22,199.98192,194.35861206054688,194.2344970703125,201.20556640625,195.94290161132812,194.73275756835938,195.22389221191406,195.3621826171875,193.7217254638672,197.6007537841797
2014-08-23,200.47717,194.60910034179688,195.13294982910156,201.47999572753906,195.10658264160156,195.9356231689453,196.01480102539062,197.26292419433594,192.68563842773438,199.46286010742188
2014-08-24,200.14095,193.90426635742188,195.19049072265625,203.4334716796875,194.29319763183594,196.98284912109375,196.7703399658203,197.9196319580078,192.8122100830078,199.71429443359375
